lat,lon
33.152292,-117.0714757
33.13421836,-117.0743969
33.14188294,-117.0784088
33.10400941,-117.0743532
33.10270713,-117.0684875
33.1315724,-117.0705501
33.1538303,-117.1203747
33.10362189,-117.1062788
33.14002238,-117.0531079
33.13396711,-117.0480939
33.10400941,-117.0743532
33.12470105,-117.0766152
33.10960235,-117.0812121
33.09479744,-117.0564742
33.13162034,-117.0812945
33.10929909,-117.0745868
33.13449613,-117.1012149
33.12538632,-117.0553624
33.13260846,-117.0905111
33.15092171,-117.0424042
33.09479744,-117.0564742
33.1370371,-117.0643894
33.14000345,-117.0436362
33.1281101,-117.1211796
33.10923128,-117.0999414
33.1457421,-117.0568508
33.16196761,-117.0571243
33.15067132,-117.0912609
33.13822978,-117.0521922
33.13351466,-117.0775292
33.16263336,-117.0971264
33.13568244,-117.0849319
33.10848757,-117.0998157
33.09439117,-117.0761165
33.12681601,-117.0782446
33.12506853,-117.0801937
33.14181479,-117.0230372
33.14703091,-117.0569676
33.101671,-117.0873719
33.10123284,-117.0920018
33.12475537,-117.090932
33.12075138,-117.1046833
33.14468531,-117.052493
33.1122878,-117.0831199
33.14107329,-117.0746489
33.11467101,-117.0802096
33.11712906,-117.0874345
33.12230266,-117.074156
33.09892329,-117.0705612
33.11839609,-117.0782248
33.13763095,-117.0585232
33.06961772,-117.0801005
33.1035358,-117.0668333
33.13763095,-117.0585232
33.11996078,-117.0848601
33.13612287,-117.0600426
33.12552276,-117.0764823
33.13052709,-117.072387
33.1318675,-117.0805047
33.09479744,-117.0564742
33.12006262,-117.0840217
33.13282855,-117.0812553
33.12308261,-117.091329
33.11139736,-117.0914922
33.15195756,-117.0423926
33.09479744,-117.0564742
33.123929,-117.0818765
33.09479744,-117.0564742
33.13655576,-117.0758661
33.11073303,-117.0838089
33.10848757,-117.0998157
33.11277318,-117.0870792
33.13391116,-117.0980769
33.13421776,-117.0499637
33.15092171,-117.0424042
33.10629213,-117.1039648
33.13651098,-117.0926352
33.13748963,-117.0959676
33.12811129,-117.0762553
33.12177024,-117.0787776
33.12870892,-117.0938169
33.10528217,-117.0717738
33.16996541,-117.0900191
33.12681601,-117.0782446
33.07587963,-117.0580289
33.11365961,-117.0804091
33.15195756,-117.0423926
33.12391883,-117.0825018
33.13070922,-117.0780111
33.12664787,-117.0848454
33.12063626,-117.0688931
33.13032956,-117.0583774
33.13202917,-117.0768786
33.13303615,-117.0588859
33.15262191,-117.1160316
33.13085022,-117.0961648
33.15285982,-117.0916003
33.10135183,-117.0711574
33.13466689,-117.0489717
33.13529902,-117.0503758
33.12870892,-117.0938169
33.11032361,-117.0028531
33.09416606,-117.0575623
33.09810286,-117.1056942
33.12643248,-117.0928284
33.12870892,-117.0938169
33.1557753,-117.0720266
33.12608001,-117.0649466
33.13962071,-117.0570269
33.12875839,-117.0905005
33.13795965,-117.0418436
33.12362484,-117.1007677
33.15132252,-117.1212131
33.08494945,-117.0919329
33.12608001,-117.0649466
33.09479744,-117.0564742
33.13300966,-117.0769555
33.13234924,-117.0692426
33.1051186,-117.111427
33.13540278,-117.0688252
33.10432873,-117.0814115
33.09416606,-117.0575623
33.07016587,-117.0531187
33.13962071,-117.0570269
33.1315724,-117.0705501
33.13300966,-117.0769555
33.13499392,-117.0781787
33.16263336,-117.0971264
33.16903285,-117.0891372
33.11205921,-117.1072589
33.11541721,-117.0721489
33.12774244,-117.0827636
33.13300966,-117.0769555
33.07587963,-117.0580289
33.11735583,-117.0821163
33.11136821,-117.0825396
33.14934139,-117.0566932
33.07266364,-117.071177
33.11067987,-117.0693192
33.09416606,-117.0575623
33.13553732,-117.0437099
33.1030809,-117.0719897
33.11663245,-117.109975
33.14580652,-117.0972688
33.13139761,-117.0694524
33.13540278,-117.0688252
33.11907712,-117.0768725
33.1315724,-117.0705501
33.15603301,-117.1147752
33.1358241,-117.1017287
33.12875839,-117.0905005
33.09416606,-117.0575623
33.15835466,-117.0621637
33.12746526,-117.0840708
33.12781368,-117.0069756
33.13300966,-117.0769555
33.16263336,-117.0971264
33.07587963,-117.0580289
33.11205921,-117.1072589
33.13085022,-117.0961648
33.13499581,-117.0873906
33.11041047,-117.0771909
33.11737385,-117.09
33.11907712,-117.0768725
33.15406315,-117.0630046
33.13014541,-117.0994223
33.16996541,-117.0900191
33.13529902,-117.0503758
33.13014541,-117.0994223
33.12308261,-117.091329
33.1224076,-117.0856901
33.13421836,-117.0743969
33.13300966,-117.0769555
33.15603301,-117.1147752
33.13594456,-117.0741649
33.10795278,-117.0772755
33.13748963,-117.0959676
33.13000732,-117.0740454
33.15092171,-117.0424042
33.09069996,-117.0701517
33.13330333,-117.0696343
33.13747532,-117.0606415
33.12879923,-117.0561032
33.15195756,-117.0423926
33.08692026,-117.1006657
33.1335549,-117.0757986
33.13052709,-117.072387
33.15195756,-117.0423926
33.1335549,-117.0757986
33.11737385,-117.09
33.15869566,-117.1008923
33.11269433,-117.116416
33.16263336,-117.0971264
33.1187583,-117.1241648
33.12746526,-117.0840708
33.12653352,-117.0883151
33.14722962,-117.0379534
33.12563204,-117.0805926
33.14247802,-117.0432945
33.16263336,-117.0971264
33.1355855,-117.0603728
33.11860617,-117.1043592
33.10400941,-117.0743532
33.09974903,-117.1099282
33.09479744,-117.0564742
33.16995515,-117.1387812
33.15869566,-117.1008923
33.11737385,-117.09
33.1467433,-117.0739462
33.12475537,-117.090932
33.10111146,-117.0702049
33.1310615,-117.0378087
33.14786304,-117.0537509
33.12190508,-117.1154626
33.1590249,-117.0987715
33.16263336,-117.0971264
33.09892329,-117.0705612
33.12290677,-117.0650916
33.10613253,-117.0832971
33.1060363,-117.0765733
33.13429727,-117.1037334
33.13553732,-117.0437099
33.12615363,-117.0584784
33.13846522,-117.066433
33.13421836,-117.0743969
33.16995515,-117.1387812
33.16263336,-117.0971264
33.1303163,-117.0687445
33.09479744,-117.0564742
33.10613253,-117.0832971
33.15415013,-117.0370573
33.12269214,-117.0794249
33.1318675,-117.0805047
33.13466689,-117.0489717
33.13747532,-117.0606415
33.11136821,-117.0825396
33.12653352,-117.0883151
33.13300966,-117.0769555
33.09416606,-117.0575623
33.12681601,-117.0782446
33.14382975,-117.0824744
33.16995515,-117.1387812
33.10916552,-117.0845165
33.13655576,-117.0758661
33.13747532,-117.0606415
33.1224076,-117.0856901
33.13748963,-117.0959676
33.13822978,-117.0521922
33.11130374,-117.0796536
33.1441985,-117.0902052
33.12811129,-117.0762553
33.13698169,-117.0381024
33.17592238,-117.1291669
33.13789812,-117.0990831
33.13777657,-117.0886245
33.1441985,-117.0902052
33.11703988,-117.1032432
33.10917433,-117.0772263
33.1398951,-117.0625652
33.10757967,-117.0923896
33.14179797,-117.0898257
33.13581975,-117.0681136
33.13690779,-117.0578957
33.13300966,-117.0769555
33.1282912,-117.0919918
33.13553732,-117.0437099
33.12963461,-117.0375301
33.14577561,-117.0959353
33.13085022,-117.0961648
33.1287351,-117.099037
33.12828277,-117.0795904
33.10941936,-117.0925566
33.13300966,-117.0769555
33.13466689,-117.0489717
33.13165109,-117.0410326
33.12746526,-117.0840708
33.12290677,-117.0650916
33.09197704,-117.1157254
33.1072522,-117.0749521
33.11663245,-117.109975
33.10123284,-117.0920018
33.13300966,-117.0769555
33.12962815,-117.0752668
33.10620519,-117.1023858
33.09479744,-117.0564742
33.10239312,-117.0691054
33.07266364,-117.071177
33.14580652,-117.0972688
33.16263336,-117.0971264
33.10597854,-117.0703827
33.14087024,-117.0362948
33.15195756,-117.0423926
33.13338145,-117.0528388
33.0960714,-117.11765
33.10848757,-117.0998157
33.10956448,-117.1088038
33.09479744,-117.0564742
33.0997984,-117.1116054
33.1400448,-117.0600518
33.08486307,-117.1005667
33.11860617,-117.1043592
33.09029497,-117.0954151
33.11663245,-117.109975
33.15869566,-117.1008923
33.12774244,-117.0827636
33.16263336,-117.0971264
33.1335549,-117.0757986
33.09810286,-117.1056942
33.15092171,-117.0424042
33.11398988,-117.0888499
33.1224076,-117.0856901
